구,동,면적,CCTV 수,설치 비율
,,면적 (k㎡),카메라대수,카메라 수 / 면적
,풍납1동,0.77,131,170.130 
,풍납2동,1.59,178,111.950 
,거여1동,0.51,140,274.510 
,거여2동,0.53,163,307.547 
,마천1동,0.58,171,294.828 
,마천2동,0.89,226,253.933 
,방이1동,0.5,114,228.000 
,방이2동,0.8,186,232.500 
,오륜동,3.17,66,20.820 
,오금동,1.65,315,190.909 
,송파1동,0.79,175,221.519 
,송파2동,0.53,104,196.226 
,석촌동,0.95,236,248.421 
,삼전동,0.95,230,242.105 
,가락본동,1.13,186,164.602 
,가락1동,1.34,65,48.507 
,가락2동,0.96,153,159.375 
,문정1동,0.56,124,221.429 
,문정2동,2.2,107,48.636 
,장지동,2.79,228,81.720 
,위례동,0.6,302,503.333 
,잠실본동,1.37,264,192.701 
,잠실2동,1.49,55,36.913 
,잠실3동,1.56,56,35.897 
,잠실4동,2.55,62,24.314 
,잠실6동,0.94,71,75.532 
,잠실7동,2.18,50,22.936 
강동구,소계,24.59,4097,166.612 
,강일동,2.26,254,112.389 
,상일1동,1.82,357,196.154 
,상일2동,1.09,180,165.138 
,명일1동,0.61,149,244.262 
,명일2동,0.97,95,97.938 
,고덕1동,1.51,164,108.609 
,고덕2동,2.5,213,85.200 
,암사1동,1.02,356,349.020 
,암사2동,1.18,96,81.356 
,암사3동,2.51,145,57.769 
,천호1동,0.71,266,374.648 
,천호2동,1.57,398,253.503 
,천호3동,0.79,250,316.456 
,성내1동,0.58,236,406.897 
,성내2동,0.67,283,422.388 
,성내3동,0.71,223,314.085 
,길동,1.61,209,129.814 
,둔촌1동,0.92,3,3.261 
,둔촌2동,1.56,220,141.026 
